dim,term1,term2
affluence,rich,poor
affluence,richer,poorer
affluence,richest,poorest
affluence,affluent,destitute
affluence,advantaged,needy
affluence,wealthy,impoverished
affluence,costly,economical
affluence,exorbitant,impecunious
affluence,expensive,inexpensive
affluence,exquisite,ruined
affluence,extravagant,necessitous
affluence,flush,skint
affluence,invaluable,cheap
affluence,lavish,economical
affluence,luxuriant,penurious
affluence,luxurious,threadbare
affluence,luxury,cheap
affluence,moneyed,unmonied
affluence,opulent,indigent
affluence,plush,threadbare
affluence,luxuriant,penurious
affluence,affluence,poverty
affluence,precious,cheap
affluence,priceless,worthless
affluence,privileged,underprivileged
affluence,propertied,bankrupt
affluence,prosperous,unprosperous
affluence,developed,underdeveloped
affluence,solvency,insolvency
affluence,successful,unsuccessful
affluence,sumptuous,plain
affluence,swanky,basic
affluence,thriving,disadvantaged
affluence,upscale,squalid
affluence,valuable,valueless
affluence,classy,beggarly
affluence,ritzy,ramshackle
affluence,opulence,indigence
affluence,solvent,insolvent
affluence,moneyed,moneyless
affluence,rich,penniless
affluence,affluence,penury
affluence,posh,plain
affluence,opulence,indigence
