dim,term1,term2
affluence,rich,poor
affluence,richer,poorer
affluence,richest,poorest
affluence,affluent,destitute
affluence,advantaged,needy
affluence,wealthy,impoverished
affluence,costly,economical
affluence,exorbitant,impecunious
affluence,expensive,inexpensive
affluence,exquisite,ruined
affluence,extravagant,necessitous
affluence,flush,skint
affluence,invaluable,cheap
affluence,lavish,economical
affluence,luxuriant,penurious
affluence,luxurious,threadbare
affluence,luxury,cheap
affluence,moneyed,unmonied
affluence,opulent,indigent
affluence,plush,threadbare
affluence,luxuriant,penurious
affluence,affluence,poverty
affluence,precious,cheap
affluence,priceless,worthless
affluence,privileged,underprivileged
affluence,propertied,bankrupt
affluence,prosperous,unprosperous
affluence,developed,underdeveloped
affluence,solvency,insolvency
affluence,successful,unsuccessful
affluence,sumptuous,plain
affluence,swanky,basic
affluence,thriving,disadvantaged
affluence,upscale,squalid
affluence,valuable,valueless
affluence,classy,beggarly
affluence,ritzy,ramshackle
affluence,opulence,indigence
affluence,solvent,insolvent
affluence,moneyed,moneyless
affluence,rich,penniless
affluence,affluence,penury
affluence,posh,plain
affluence,opulence,indigence
gender,man,woman
gender,men,women
gender,he,she
gender,him,her
gender,his,her
gender,his,hers
gender,boy,girl
gender,boys,girls
gender,male,female
gender,masculine,feminine
race,black,white
race,blacks,whites
race,black,white
race,blacks,whites
race,african,european
race,african,caucasian
race,afro,anglo
hardness,soft,hard
hardness,supple,tough
hardness,delicate,dense
hardness,pliable,rigid
hardness,fluffy,firm
hardness,mushy,solid
hardness,softer,harder
hardness,softest,hardest
racionality,foolish,wise
racionality,dumb,smartir
racionality,stupid,thoughtful
racionality,unwise,sensible
racionality,silly,reasonable
racionality,ridiculous,enlightened
racionality,unintelligent,intelligent
racionality,rational,rational
importance,unimportant,important
importance,inconsequential,consequential
importance,secondary,principal
importance,irrelevant,major
importance,trivial,crucial
importance,negligible,critical
importance,insignificant,significant
importance,unnecessary,essential
importance,peripheral,central
velocity,fast,slow
velocity,quick,lagging
velocity,rapid,unhurried
velocity,speedy,sluggish
velocity,swift,gradual
velocity,quickly,slowly
velocity,swiftly,gradually
velocity,faster,slower
velocity,fastest,slowest
normality,unusual,usual
normality,different,customary
normality,abnormal,normal
normality,irregular,regular
normality,odd,standard
normality,atypical,typical
normality,unexpected,expected
normality,unconventional,conventional
calmness,excitable,calm
calmness,volatile,tranquil
calmness,nervous,still
calmness,tempestuous,serene
calmness,fiery,peaceful
calmness,emotional,restful
calmness,jumpy,sedate
calmness,unsettled,settled
strength,strong,weak
strength,powerful,powerless
strength,muscular,frail
strength,brawny,feeble
strength,strapping,puny
strength,sturdy,fragile
strength,robust,flimsy
strength,vigorous,languid
color,colorful,colorless
color,brilliant,uncolored
color,bright,pale
color,radiant,drab
color,vivid,pallid
color,vibrant,lackluster
color,colored,bleached
form,rounded,angular
form,circular,cornered
form,round,pointed
form,dull,sharp
form,smooth,jagged
form,spherical,edged
activity,passive,active
activity,immobile,mobile
activity,lethargic,energetic
activity,frail,vital
activity,subdued,vigorous
activity,static,dynamic
activity,subdued,lively
truth,true_,false_
truth,true_,untrue
truth,verifiable,erroneous
truth,veracious,fallacious
truth,accurate,inaccurate
truth,faithful,fraudulent
truth,correct,incorrect
beauty,ugly,beautiful
beauty,unattractive,attractive
beauty,unsightly,pretty
beauty,hideous,handsome
beauty,grotesque,gorgeous
beauty,repulsive,cute
gender2,feminine,masculine
gender2,woman,man
gender2,women,men
gender2,she,he
gender2,her,him
gender2,her,his
gender2,hers,his
gender2,girl,boy
gender2,girls,boys
